level,code,name,harmonization_note
1,01,Personal Care Activities,
1,02,Household Activities,
1,03,Caring For & Helping Household (HH) Members,
1,04,Caring For & Helping Nonhousehold (NonHH) Members,
1,05,Work & Work-Related Activities,
1,06,Education,
1,07,Consumer Purchases,
1,08,Professional & Personal Care Services,
1,09,Household Services,
1,10,Government Services & Civic Obligations,
1,11,Eating and Drinking,
1,12,"Socializing, Relaxing, and Leisure",
1,13,"Sports, Exercise, & Recreation",
1,14,Religious and Spiritual Activities,
1,15,Volunteer Activities,
1,16,Telephone Calls,
1,18,Traveling,
1,50,Data Codes,
2,0101,Sleeping,
2,0102,Grooming,
2,0103,Health-related self care,
2,0104,Personal Activities,
2,0105,Personal Care Emergencies,
2,0199,"Personal care, n.e.c.*",
2,0201,Housework,
2,0202,"Food & Drink Preparation, Presentation, & Clean-up",
2,0203,"Interior Maintenance, Repair & Decoration",
2,0204,"Exterior Maintenance, Repair & Decoration",
2,0205,"Lawn, Garden, and Houseplants",
2,0206,Animals and Pets,
2,0207,Vehicles,
2,0208,"Appliances, Tools, and Toys",
2,0209,Household Management,
2,0299,"Household activities, n.e.c.*",
2,0301,Caring For & Helping HH Children,
2,0302,Activities Related to HH Children's Education,
2,0303,Activities Related to HH Children's Health,
2,0304,Caring for Household Adults,
2,0305,Helping Household Adults,
2,0399,Caring For & Helping NonHH Members,
2,0401,Caring for & Helping Nonhousehold Children,
2,0402,Activities Related to Nonhh Children's Education,
2,0403,Activities Related to Nonhh Children's Health,
2,0404,Caring For Nonhousehold Adults,
2,0405,Helping Nonhousehold Adults,
2,0499,"Caring For & Helping Nonhousehold Adults, n.e.c.*",
2,0501,Working,
2,0502,Work-Related Activities,
2,0503,Other Income-Generating Activities,
2,0504,Job Search and Interviewing,
2,0599,"Work and Work-Related Activities, n.e.c.*",
2,0601,Taking Class,
2,0602,Extracurricular School Activities (Except Sports),
2,0603,Research/Homework,
2,0604,Registration/Administrative activities,
2,0699,"Education, n.e.c.*",
2,0701,"Shopping (Store, Telephone, Internet)",
2,0702,Researching Purchases,
2,0703,Security Procedures Related to Consumer Purchases,
2,0799,"Consumer Purchases, n.e.c.*",
2,0801,Professional & Personal Care Services,
2,0802,Financial Services and Banking,
2,0803,Legal Services,
2,0804,Medical and Care Services,
2,0805,Personal Care Services,
2,0806,Real Estate,
2,0807,Veterinary Services (excluding grooming),
